1,0,0,2,12,60,320,1950,13692,109592
7,0,0,2,12,60,320,1950,13692,109592
7,0,0,2,12,60,320,1950,13692,109592
3,0,0,2,12,60,320,1950,13692,109592
4,0,0,2,12,60,320,1950,13692,109592
2,0,0,2,12,60,320,1950,13692,109592
5,0,0,2,12,60,320,1950,13692,109592
10,0,0,2,12,60,320,1950,13692,109592
6,0,0,2,12,60,320,1950,13692,109592
3,0,0,2,12,60,320,1950,13692,109592
2,4,11,42,207,1238,8661,69282,623531,6235302
10,20,59,234,1167,6998,48981,391842,3526571,35265702
6,12,35,138,687,4118,28821,230562,2075051,20750502
9,18,53,210,1047,6278,43941,351522,3163691,31636902
3,6,17,66,327,1958,13701,109602,986411,9864102
1,2,5,18,87,518,3621,28962,260651,2606502
10,20,59,234,1167,6998,48981,391842,3526571,35265702
6,12,35,138,687,4118,28821,230562,2075051,20750502
7,14,41,162,807,4838,33861,270882,2437931,24379302
5,10,29,114,567,3398,23781,190242,1712171,17121702
